DBCODE,ENTITY,YEAR,PLOT,REPLICATE,SURVEY_DATETIME,START_TIME,ROUTE,OBSERVER,SKY,WIND,PHENO_VEG,PHENO_REP,RHMA_FLWR,STREAM,SNOW,SMREC,COMMENTS
SA024,1,2009,PA002,1,2009-05-18 09:15:00,0915,5,IEK,0,1,58,99,99,99,99,99,""
SA024,1,2009,PA002,2,2009-05-24 05:30:00,0530,,RWR,1,0,58,99,99,1,0,99,""
SA024,1,2009,PA002,3,2009-06-05 09:09:00,0909,5,IEK,3,0,60,99,99,0,1,99,""
SA024,1,2009,PA002,4,2009-06-16 05:30:00,0530,5,SJK,0,0,62,99,99,0,0,99,""
SA024,1,2009,PA002,5,2009-06-25 06:25:00,0625,5,ASH,3,1,62,99,99,0,0,99,""
SA024,1,2009,PA002,6,2009-07-12 05:28:00,0528,5,SJK,2,0,62,99,99,0,0,99,""
SA024,1,2009,PA003,1,2009-05-18 08:46:00,0846,5,IEK,0,0,58,99,99,99,99,99,""
SA024,1,2009,PA003,2,2009-05-24 05:54:00,0554,5,RWR,2,0,58,99,99,3,0,99,""
SA024,1,2009,PA003,3,2009-06-05 08:45:00,0845,5,IEK,3,0,61,99,99,2,0,99,""
SA024,1,2009,PA003,4,2009-06-16 05:52:00,0552,5,SJK,0,0,62,99,99,3,0,99,""
SA024,1,2009,PA003,5,2009-06-25 06:40:00,0640,5,ASH,3,1,62,99,99,1,0,99,""
SA024,1,2009,PA003,6,2009-07-12 05:54:00,0554,5,SJK,2,0,62,99,99,2,0,99,""
SA024,1,2009,PA004,1,2009-05-18 08:18:00,0818,5,IEK,0,0,58,99,99,99,99,99,""
SA024,1,2009,PA004,2,2009-05-24 06:19:00,0619,5,RWR,2,0,59,99,99,1,0,99,""
SA024,1,2009,PA004,3,2009-06-05 08:17:00,0817,5,IEK,4,0,60,99,99,0,1,99,""
SA024,1,2009,PA004,4,2009-06-15 10:30:00,1030,5,MGB,0,0,62,99,99,0,0,99,""
SA024,1,2009,PA004,5,2009-06-25 06:57:00,0657,5,ASH,3,1,62,99,99,0,0,99,""
SA024,1,2009,PA004,6,2009-07-12 06:19:00,0619,5,SJK,2,0,62,99,99,0,0,99,""
SA024,1,2009,PA005,1,2009-05-18 07:15:00,0715,5,IEK,0,0,57,99,99,99,99,99,""
SA024,1,2009,PA005,2,2009-05-24 07:16:00,0716,5,RWR,0,0,59,99,99,1,0,99,""
SA024,1,2009,PA005,3,2009-06-05 07:19:00,0719,5,IEK,4,0,60,99,99,1,0,99,""
SA024,1,2009,PA005,4,2009-06-15 10:02:00,1002,5,MGB,0,0,62,99,99,1,0,99,"RBSA nest? 25 E of point."
SA024,1,2009,PA005,5,2009-06-23 06:29:00,0629,5,ASH,1,1,62,99,99,0,0,99,""
SA024,1,2009,PA005,6,2009-07-12 07:28:00,0728,5,SJK,2,2,62,99,99,0,0,99,""
SA024,1,2009,PA006,1,2009-05-15 09:32:00,0932,5,IEK,0,1,58,99,99,99,99,99,""
SA024,1,2009,PA006,2,2009-05-24 09:19:00,0919,5,IEK,0,1,59,99,99,0,0,99,""
SA024,1,2009,PA006,3,2009-06-05 06:22:00,0622,5,IEK,3,0,60,99,99,0,0,99,""
SA024,1,2009,PA006,4,2009-06-15 08:46:00,0846,,MGB,2,0,62,99,99,99,0,99,""
SA024,1,2009,PA006,5,2009-06-23 05:52:00,0552,5,ASH,1,1,62,99,99,0,0,99,""
SA024,1,2009,PA006,6,2009-07-10 09:55:00,0955,5,SJK,1,1,62,99,99,0,0,99,""
SA024,1,2009,PA009,1,2009-05-19 09:31:00,0931,6,RWR,1,0,58,99,99,99,99,99,""
SA024,1,2009,PA009,2,2009-05-24 09:24:00,0924,6,RWR,0,0,59,99,99,3,0,99,""
SA024,1,2009,PA009,3,2009-06-09 06:06:00,0606,6,ASH,1,1,62,99,99,1,0,99,""
SA024,1,2009,PA009,4,2009-06-17 06:45:00,0645,6,SJK,1,0,62,99,99,1,0,99,""
SA024,1,2009,PA009,5,2009-06-25 08:28:00,0828,6,ASH,2,1,62,99,99,1,0,99,"no birds in periods 1 or 2"
SA024,1,2009,PA009,6,2009-07-12 08:03:00,0803,,IEK,2,0,64,99,99,0,0,99,""
SA024,1,2009,PA010,1,2009-05-19 09:54:00,0954,6,RWR,2,0,57,99,99,99,99,99,""
SA024,1,2009,PA010,2,2009-05-24 09:04:00,0904,6,RWR,0,0,59,99,99,3,0,99,""
