"lakeid","year4","sampledate","transect","depth","rep","rake_rating","fil_algae_wt","plant_wt_hand","flag"
"FI",1995,"1995-07-05",1,1,1,1,16,0,
"FI",1995,"1995-07-05",1,1,2,1,1,0,
"FI",1995,"1995-07-05",1,1,3,1,42,0,
"FI",1995,"1995-07-05",1,1,4,1,3,0,
"FI",1995,"1995-07-05",1,1.5,1,1,9,0,
"FI",1995,"1995-07-05",1,1.5,2,1,28,0,
"FI",1995,"1995-07-05",1,1.5,3,1,38,0,
"FI",1995,"1995-07-05",1,1.5,4,1,20,0,
"FI",1995,"1995-07-05",1,2,1,1,82,0,
"FI",1995,"1995-07-05",1,2,2,0,0,0,
"FI",1995,"1995-07-05",1,2,3,0,0,0,
"FI",1995,"1995-07-05",1,2,4,1,1,0,
"FI",1995,"1995-07-05",1,2.5,1,0,0,0,
"FI",1995,"1995-07-05",1,2.5,2,1,1,0,
"FI",1995,"1995-07-05",1,2.5,3,0,0,0,
"FI",1995,"1995-07-05",1,2.5,4,0,0,0,
"FI",1995,"1995-07-05",1,3,1,0,0,0,
"FI",1995,"1995-07-05",1,3,2,1,32,0,
"FI",1995,"1995-07-05",1,3,3,1,1030,0,
"FI",1995,"1995-07-05",1,3,4,1,51,0,
"FI",1995,"1995-07-05",1,3.5,1,0,0,0,
"FI",1995,"1995-07-05",1,3.5,2,1,14,0,
"FI",1995,"1995-07-05",1,3.5,3,1,94,0,
"FI",1995,"1995-07-05",1,3.5,4,1,45,0,
"FI",1995,"1995-07-05",2,1,1,1,0,16,
"FI",1995,"1995-07-05",2,1,2,1,0,59,
"FI",1995,"1995-07-05",2,1,3,1,0,18,
"FI",1995,"1995-07-05",2,1,4,1,0,41,
"FI",1995,"1995-07-05",2,1.5,1,1,0,12,
"FI",1995,"1995-07-05",2,1.5,2,1,0,3,
"FI",1995,"1995-07-05",2,1.5,3,0,0,0,
"FI",1995,"1995-07-05",2,1.5,4,1,0,1,
"FI",1995,"1995-07-05",2,2,1,0,0,0,
"FI",1995,"1995-07-05",2,2,2,1,0,12,
"FI",1995,"1995-07-05",2,2,3,1,0,38,
"FI",1995,"1995-07-05",2,2,4,0,0,0,
"FI",1995,"1995-07-05",2,2.5,1,1,0,231,
"FI",1995,"1995-07-05",2,2.5,2,1,0,20,
"FI",1995,"1995-07-05",2,2.5,3,1,0,30,
"FI",1995,"1995-07-05",2,2.5,4,0,0,0,
"FI",1995,"1995-07-05",2,3,1,1,0,8,
"FI",1995,"1995-07-05",2,3,2,1,0,3,
"FI",1995,"1995-07-05",2,3,3,1,0,8,
"FI",1995,"1995-07-05",2,3,4,1,0,5,
"FI",1995,"1995-07-05",2,3.5,1,1,0,7,
"FI",1995,"1995-07-05",2,3.5,2,1,0,39,
"FI",1995,"1995-07-05",2,3.5,3,1,0,37,
"FI",1995,"1995-07-05",2,3.5,4,1,0,41,
"FI",1995,"1995-07-05",3,1,1,1,0,1,
"FI",1995,"1995-07-05",3,1,2,1,0,100,
"FI",1995,"1995-07-05",3,1,3,1,0,60,
"FI",1995,"1995-07-05",3,1,4,1,0,18,
"FI",1995,"1995-07-05",3,1.5,1,1,0,150,
"FI",1995,"1995-07-05",3,1.5,2,1,0,48,
"FI",1995,"1995-07-05",3,1.5,3,1,0,160,
"FI",1995,"1995-07-05",3,1.5,4,1,0,242,
"FI",1995,"1995-07-05",3,2,1,1,0,390,
"FI",1995,"1995-07-05",3,2,2,1,0,57,
"FI",1995,"1995-07-05",3,2,3,1,0,74,
"FI",1995,"1995-07-05",3,2,4,1,0,227,
"FI",1995,"1995-07-05",3,2.5,1,1,0,113,
"FI",1995,"1995-07-05",3,2.5,2,1,0,11,
"FI",1995,"1995-07-05",3,2.5,3,1,0,190,
"FI",1995,"1995-07-05",3,2.5,4,1,0,50,
"FI",1995,"1995-07-05",3,3,1,0,0,0,
"FI",1995,"1995-07-05",3,3,2,1,0,1,
"FI",1995,"1995-07-05",3,3,3,1,0,32,
"FI",1995,"1995-07-05",3,3,4,0,0,0,
"FI",1995,"1995-07-05",3,3.5,1,1,0,54,
"FI",1995,"1995-07-05",3,3.5,2,1,0,60,
"FI",1995,"1995-07-05",3,3.5,3,1,0,11,
"FI",1995,"1995-07-05",3,3.5,4,1,0,1,
"FI",1995,"1995-07-05",4,1,1,0,0,0,
"FI",1995,"1995-07-05",4,1,2,1,0,32,
"FI",1995,"1995-07-05",4,1,3,1,0,1,
"FI",1995,"1995-07-05",4,1,4,1,0,2,
"FI",1995,"1995-07-05",4,1.5,1,1,0,10,
"FI",1995,"1995-07-05",4,1.5,2,1,0,175,
"FI",1995,"1995-07-05",4,1.5,3,1,0,48,
"FI",1995,"1995-07-05",4,1.5,4,1,0,567,
"FI",1995,"1995-07-05",4,2,1,1,0,626,
"FI",1995,"1995-07-05",4,2,2,1,0,12,
"FI",1995,"1995-07-05",4,2,3,1,0,20,
"FI",1995,"1995-07-05",4,2,4,1,0,91,
"FI",1995,"1995-07-05",4,2.5,1,1,0,20,
"FI",1995,"1995-07-05",4,2.5,2,1,0,240,
"FI",1995,"1995-07-05",4,2.5,3,1,0,92,
"FI",1995,"1995-07-05",4,2.5,4,1,0,94,
"FI",1995,"1995-07-05",4,3,1,1,0,288,
"FI",1995,"1995-07-05",4,3,2,1,0,344,
"FI",1995,"1995-07-05",4,3,3,1,0,87,
"FI",1995,"1995-07-05",4,3,4,1,0,273,
"FI",1995,"1995-07-05",4,3.5,1,1,0,48,
"FI",1995,"1995-07-05",4,3.5,2,1,0,106,
"FI",1995,"1995-07-05",4,3.5,3,1,0,118,
"FI",1995,"1995-07-05",4,3.5,4,1,0,232,
"FI",1995,"1995-07-05",4,4,1,0,0,0,
"FI",1995,"1995-07-05",4,4,2,1,0,1,
"FI",1995,"1995-07-05",4,4,3,1,0,1,
