"lakeid","year4","sampledate","transect","depth","rep","spname","rake_rating","flag"
"FI",1995,"1995-07-05",1,1,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",1,1,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",1,1,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",1,1,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",1,1.5,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",1,1.5,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",1,1.5,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",1,1.5,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",1,2,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",1,3,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",1,3,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",1,3,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",1,1,1,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",1,1,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",1,1,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",1,1,4,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",1,1.5,1,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",1,1.5,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",1,1.5,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",1,1.5,4,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",1,2,1,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",1,2,4,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",1,2.5,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",1,3,3,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",1,3.5,4,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",1,1,3,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",1,1,4,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",1,1.5,3,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",1,3,3,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",1,3.5,2,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",1,3.5,3,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",1,3.5,4,"CERATOPHYLLUM DEMERSUM",1,
"FI",1995,"1995-07-05",1,1,1,"STUCKENIA PECTINATA",1,
"FI",1995,"1995-07-05",1,1.5,1,"STUCKENIA PECTINATA",1,
"FI",1995,"1995-07-05",1,1.5,2,"STUCKENIA PECTINATA",1,
"FI",1995,"1995-07-05",1,2,1,"STUCKENIA PECTINATA",1,
"FI",1995,"1995-07-05",1,1.5,1,"POTAMOGETON CRISPUS",1,
"FI",1995,"1995-07-05",1,3,2,"POTAMOGETON CRISPUS",1,
"FI",1995,"1995-07-05",1,3,4,"POTAMOGETON CRISPUS",1,
"FI",1995,"1995-07-05",1,1,1,"BRASENIA SCHREBERI",1,
"FI",1995,"1995-07-05",2,1,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",2,1,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",2,1.5,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",2,2,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",2,2,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",2,2,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",2,2.5,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",2,2.5,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",2,3,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",2,3,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",2,3,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",2,3,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",2,3.5,1,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",2,3.5,2,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",2,3.5,3,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",2,3.5,4,"FILAMENTOUS ALGAE",1,
"FI",1995,"1995-07-05",2,1,2,"MYRIOPHYLLUM SPICATUM",1,
"FI",1995,"1995-07-05",2,1,3,"MYRIOPHYLLUM SPICATUM",1,
